2018-07-17 03:12:37 install libsasl2-2:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:37 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:37 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:37 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:37 install libldap-common:all <none> 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:37 status half-installed libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:37 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:37 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:37 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:37 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:37 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:37 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:37 install openssl:amd64 <none> 1.1.0f-3+deb9u2
2018-07-17 03:12:37 status half-installed openssl:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:38 status unpacked openssl:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:38 status unpacked openssl:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:38 install ca-certificates:all <none> 20161130+nmu1+deb9u1
2018-07-17 03:12:38 status half-installed ca-certificates:all 20161130+nmu1+deb9u1
2018-07-17 03:12:38 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2018-07-17 03:12:38 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2018-07-17 03:12:38 install libnghttp2-14:amd64 <none> 1.18.1-1
2018-07-17 03:12:38 status half-installed libnghttp2-14:amd64 1.18.1-1
2018-07-17 03:12:38 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-07-17 03:12:38 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-07-17 03:12:38 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-1+b1
2018-07-17 03:12:38 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-07-17 03:12:38 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-07-17 03:12:38 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-07-17 03:12:38 install libssh2-1:amd64 <none> 1.7.0-1
2018-07-17 03:12:38 status half-installed libssh2-1:amd64 1.7.0-1
2018-07-17 03:12:38 status unpacked libssh2-1:amd64 1.7.0-1
2018-07-17 03:12:38 status unpacked libssh2-1:amd64 1.7.0-1
2018-07-17 03:12:38 install libcurl3:amd64 <none> 7.52.1-5+deb9u6
2018-07-17 03:12:38 status half-installed libcurl3:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:38 status unpacked libcurl3:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:38 status unpacked libcurl3:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:38 install curl:amd64 <none> 7.52.1-5+deb9u6
2018-07-17 03:12:38 status half-installed curl:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:38 status unpacked curl:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:38 status unpacked curl:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:38 startup packages configure
2018-07-17 03:12:38 configure libnghttp2-14:amd64 1.18.1-1 <none>
2018-07-17 03:12:38 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-07-17 03:12:38 status half-configured libnghttp2-14:amd64 1.18.1-1
2018-07-17 03:12:38 status installed libnghttp2-14:amd64 1.18.1-1
2018-07-17 03:12:38 configure libldap-common:all 2.4.44+dfsg-5+deb9u2 <none>
2018-07-17 03:12:38 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
